Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
16225,-658.6086,-383.6251,930.0000,762.1899,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,113
16980,-672.9637,-494.3126,702.1802,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,112
17095,0.0000,0.0000,80.0000,0.0000,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,1
17100,-48.7728,49.6424,3915.5000,69.5928,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,1
17105,-30.7886,145.8368,8710.0000,149.0513,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
17110,17.3242,222.2330,13090.0000,222.9072,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
17115,80.0877,283.0163,17340.0000,294.1297,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
17995,381.8648,-194.2991,5310.5000,428.4540,0.00000000,0.00000000,9.25823570,9.25823570,anti_nu_e,Solenoid_1_FieldVolume,476
18640,76.1256,-72.5754,3480.0000,105.1775,0.00000000,0.00000000,7.40658856,7.40658856,e+,Solenoid_1_FieldVolume,797
18645,171.6241,193.2344,100.0000,258.4460,0.00000000,0.00000000,24.07141282,24.07141282,anti_nu_mu,Solenoid_1_FieldVolume,795
18680,18.2031,12.8920,2392.4677,22.3060,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,801
18685,27.3805,-68.8805,3801.1602,74.1230,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,801
18690,438.7351,88.9938,3480.0000,447.6699,0.00000000,0.00000000,7.40658856,7.40658856,proton,Solenoid_1_FieldVolume,800
18805,-338.7389,-532.7034,5310.5000,631.2820,0.00000000,0.00000000,9.25823570,9.25823570,nu_e,Solenoid_1_FieldVolume,898
19465,-101.0374,137.6833,508.4566,170.7784,0.00000000,0.00000000,24.07141282,24.07141282,e-,Solenoid_1_FieldVolume,1281
19470,-112.7738,99.6997,1463.7817,150.5256,0.00000000,0.00000000,16.66482426,16.66482426,e-,Solenoid_1_FieldVolume,1281
19475,-90.7711,0.2621,1870.0989,90.7715,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,1281
19480,-80.9178,-23.9312,1858.9922,84.3824,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,1281
19485,-80.9622,-23.9296,1847.9515,84.4246,0.00000000,0.00000000,11.10988284,11.10988284,e-,Solenoid_1_FieldVolume,1281
19490,-55.1156,-47.4185,1780.0000,72.7066,0.00000000,0.00000000,16.66482426,16.66482426,pi+,Solenoid_1_FieldVolume,1258
19495,-113.0723,-156.2615,1780.0000,192.8808,0.00000000,0.00000000,16.66482426,16.66482426,proton,Solenoid_1_FieldVolume,1257
19500,749.6304,367.8033,-80.0896,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,1298
19540,2.4632,456.3335,930.0000,456.3401,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,1297
19600,77.8719,-29.0563,2630.0000,83.1162,0.00000000,0.00000000,11.10988284,11.10988284,pi-,Solenoid_1_FieldVolume,8
19675,-753.2804,-360.2689,-134.1308,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,1415
19795,-202.9199,-809.9682,195.8494,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,1412
20210,71.7587,-25.1998,3915.5000,76.0548,0.00000000,0.00000000,11.10988284,11.10988284,pi-,Solenoid_1_FieldVolume,5
20215,203.2321,168.7962,8710.0000,264.1883,0.00000000,0.00000000,1.85164714,1.85164714,pi-,Solenoid_1_FieldVolume,5
20220,741.5527,-383.8288,-66.0961,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,1728
